epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38804,2.80802,6.03454,2.11682,0.00318,0.95455,0.00413,0.00143,1.88057,4.55226,1.26884,0.0004,0.0004,0.0004
2,7.74157,2.16331,3.73817,1.51749,0.00258,0.77273,0.00344,0.00117,1.74433,3.99981,1.25019,0.000814588,0.000814588,0.000814588
3,11.1904,2.0534,3.13726,1.50081,0.61208,0.04545,0.04767,0.01464,2.38285,3.61745,1.92081,0.00122363,0.00122363,0.00122363
4,14.7993,2.05775,2.80149,1.50044,0.34778,0.54545,0.3467,0.13262,2.2164,2.17247,1.72292,0.00162713,0.00162713,0.00162713
5,18.3676,2.07023,2.58498,1.50865,0.34717,0.18182,0.08183,0.03229,3.0955,4.65341,3.46132,0.0019472,0.0019472,0.0019472
6,21.7689,2.07073,2.43801,1.5653,0.24432,0.18182,0.12143,0.06528,2.21746,3.0307,1.66913,0.001934,0.001934,0.001934
7,25.2087,2.07885,2.39395,1.50884,0.31452,0.13636,0.16503,0.10271,1.90398,3.49838,1.36052,0.0019208,0.0019208,0.0019208
8,28.5961,1.99176,2.29355,1.50403,0.82292,0.5,0.58108,0.32477,1.75499,1.90102,1.40376,0.0019076,0.0019076,0.0019076
9,32.1581,1.97161,2.20919,1.48007,0.58349,0.54545,0.49865,0.23367,1.9516,1.98113,1.40652,0.0018944,0.0018944,0.0018944
10,35.5607,1.9708,2.12018,1.45987,0.75643,0.36364,0.49265,0.28196,1.82607,1.80115,1.37278,0.0018812,0.0018812,0.0018812
11,39.0127,1.95562,2.11929,1.43143,0.55202,0.54545,0.46714,0.23672,1.90536,3.01535,1.42716,0.001868,0.001868,0.001868
12,42.3935,1.98436,2.11648,1.46343,0.49531,0.40184,0.43566,0.25542,1.89909,2.03586,1.41315,0.0018548,0.0018548,0.0018548
13,45.8231,1.91579,2.04801,1.44837,0.85167,0.59091,0.62831,0.29417,1.98446,1.67828,1.4927,0.0018416,0.0018416,0.0018416
14,49.2161,1.91839,2.02042,1.44094,0.4329,0.45455,0.42749,0.25848,1.78827,2.00579,1.39697,0.0018284,0.0018284,0.0018284
15,52.6606,1.88336,1.97311,1.44294,0.63033,0.46552,0.50115,0.22975,1.82254,2.06782,1.37465,0.0018152,0.0018152,0.0018152
16,56.05,1.88018,1.94385,1.42963,0.49055,0.59091,0.52325,0.24722,2.01363,1.78224,1.49458,0.001802,0.001802,0.001802
17,59.4693,1.85382,1.93096,1.42693,0.73147,0.54545,0.58756,0.29984,1.96899,1.72745,1.48317,0.0017888,0.0017888,0.0017888
18,62.8637,1.82723,1.85334,1.38141,0.85672,0.54371,0.65419,0.33223,1.82995,1.79393,1.37077,0.0017756,0.0017756,0.0017756
19,66.4481,1.83019,1.85625,1.40783,0.66663,0.45455,0.55722,0.28809,1.8164,1.52215,1.38087,0.0017624,0.0017624,0.0017624
20,69.8433,1.82175,1.81174,1.37892,0.48046,0.59091,0.59188,0.30427,2.01187,1.74276,1.45933,0.0017492,0.0017492,0.0017492
21,73.2758,1.80919,1.77379,1.40096,0.50188,0.54545,0.50288,0.21444,1.96449,1.80126,1.4614,0.001736,0.001736,0.001736
