epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9874,2.94834,6.09808,2.22471,0.00061,0.18182,0.00041,0.00019,1.99605,5.10897,1.45175,0.00024,0.00024,0.00024
2,19.6184,2.26012,4.33633,1.5816,0.00227,0.68182,0.00228,0.00071,1.83345,4.5632,1.24953,0.00049802,0.00049802,0.00049802
3,23.4383,2.04139,3.38171,1.39022,0.00258,0.77273,0.0041,0.00136,1.90738,4.42658,1.31243,0.000753981,0.000753981,0.000753981
4,27.242,2.04095,3.08601,1.42339,0.00091,0.27273,0.00811,0.00389,1.73548,4.37047,1.19578,0.00100788,0.00100788,0.00100788
5,30.9813,2.00943,2.83532,1.41112,0.00106,0.31818,0.01975,0.00457,2.39338,4.20064,1.86355,0.00125972,0.00125972,0.00125972
6,34.78,1.99512,2.63546,1.40669,0.00303,0.90909,0.01017,0.00456,1.9551,40.4543,1.47849,0.00150951,0.00150951,0.00150951
7,38.4608,2.02896,2.53742,1.43693,0.00258,0.77273,0.03916,0.01557,1.95519,3.26373,1.42964,0.00175723,0.00175723,0.00175723
8,42.2334,2.00237,2.40646,1.42484,0.2141,0.13636,0.11369,0.02835,2.00032,4.82346,1.58621,0.00194456,0.00194456,0.00194456
9,45.98,1.98793,2.35318,1.41052,0.3039,0.22727,0.13927,0.04144,2.23428,3.88913,1.56055,0.00193664,0.00193664,0.00193664
10,49.7189,1.94948,2.17395,1.4164,0.15287,0.13636,0.04897,0.02146,1.89858,3.73437,1.48051,0.00192872,0.00192872,0.00192872
11,53.3797,1.97546,2.17346,1.40574,0.40537,0.27273,0.24193,0.12216,1.92948,2.4163,1.46171,0.0019208,0.0019208,0.0019208
12,57.1275,1.91818,2.07791,1.39192,0.31804,0.54545,0.3034,0.13056,1.89621,2.90511,1.42553,0.00191288,0.00191288,0.00191288
13,60.9374,1.89322,2.0527,1.38698,0.65289,0.45455,0.52384,0.24299,1.83747,1.91868,1.47311,0.00190496,0.00190496,0.00190496
14,64.7318,1.85569,2.0112,1.35113,0.57646,0.40909,0.35735,0.18549,2.11942,2.0039,1.49076,0.00189704,0.00189704,0.00189704
15,68.4009,1.87867,1.96363,1.36419,0.82533,0.45455,0.52426,0.29126,1.95877,1.76046,1.48795,0.00188912,0.00188912,0.00188912
16,72.1925,1.88414,1.91995,1.35784,0.42891,0.31818,0.30895,0.17841,1.89785,2.56778,1.42077,0.0018812,0.0018812,0.0018812
17,75.8606,1.84102,1.93999,1.3657,0.62218,0.44941,0.50602,0.23573,1.82771,2.50956,1.35167,0.00187328,0.00187328,0.00187328
18,79.4901,1.81248,1.841,1.34941,0.4011,0.45455,0.41032,0.21784,2.01342,2.385,1.43745,0.00186536,0.00186536,0.00186536
19,83.1585,1.83903,1.90897,1.35512,0.63439,0.27273,0.32239,0.18954,2.1415,2.36043,1.58606,0.00185744,0.00185744,0.00185744
20,86.807,1.80406,1.8434,1.3319,0.59697,0.68182,0.59728,0.27379,1.85217,2.18951,1.43434,0.00184952,0.00184952,0.00184952
21,90.4823,1.77782,1.79657,1.31812,0.25748,0.59091,0.30587,0.13116,1.73871,8.75978,1.36793,0.0018416,0.0018416,0.0018416
22,94.1409,1.77283,1.77163,1.31109,0.57613,0.54545,0.55602,0.28235,1.82147,2.12426,1.38569,0.00183368,0.00183368,0.00183368
23,97.8166,1.76771,1.71201,1.318,0.55662,0.68487,0.58023,0.3174,1.76446,1.76311,1.37308,0.00182576,0.00182576,0.00182576
24,101.61,1.75963,1.75408,1.31911,0.70523,0.63636,0.63741,0.34856,1.72456,3.60012,1.33711,0.00181784,0.00181784,0.00181784
25,105.414,1.72682,1.61812,1.29205,0.89196,0.59091,0.64507,0.3575,1.72098,1.76998,1.34291,0.00180992,0.00180992,0.00180992
26,109.219,1.7217,1.60854,1.273,0.68652,0.63636,0.62332,0.34267,1.63454,1.48501,1.28447,0.001802,0.001802,0.001802
27,112.896,1.69202,1.57913,1.28023,0.70342,0.59091,0.58862,0.33088,1.68739,1.67969,1.24891,0.00179408,0.00179408,0.00179408
28,116.553,1.69028,1.59286,1.27168,0.67399,0.59091,0.63791,0.33242,1.72402,1.52696,1.32863,0.00178616,0.00178616,0.00178616
29,120.225,1.63985,1.57703,1.25408,0.5702,0.54286,0.52895,0.30151,1.63214,1.87196,1.28718,0.00177824,0.00177824,0.00177824
30,123.89,1.67788,1.54483,1.27171,0.85271,0.54545,0.56195,0.3035,1.82169,2.14474,1.33466,0.00177032,0.00177032,0.00177032
31,127.561,1.73879,1.63131,1.28429,0.9155,0.49298,0.59515,0.29492,1.75562,1.92862,1.33651,0.0017624,0.0017624,0.0017624
32,131.224,1.64514,1.46915,1.25262,0.76614,0.5959,0.62067,0.31897,1.83216,1.85349,1.36922,0.00175448,0.00175448,0.00175448
33,134.896,1.659,1.48462,1.25236,0.72434,0.5,0.48068,0.22531,1.79901,2.00401,1.32834,0.00174656,0.00174656,0.00174656
