epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1312.02,1.9905,2.39909,1.44713,1,0.07347,0.17502,0.06176,1.8678,4.02807,1.3721,0.000986206,0.000986206,0.000986206
43,1332.38,1.80003,2.19994,1.29792,1,0.07347,0.17502,0.06176,1.8678,4.02807,1.3721,0.00099314,0.00099314,0.00099314
44,1353.13,1.72289,2.13785,1.28484,1,0.17106,0.42414,0.1578,1.92742,3.64564,1.44157,0.000999282,0.000999282,0.000999282
45,1374.47,1.84274,2.4807,1.39392,1,0.17106,0.42414,0.1578,1.92742,3.64564,1.44157,0.00100463,0.00100463,0.00100463
46,1394.32,1.56674,2.1809,1.31885,0.84993,0.22727,0.38992,0.16403,1.83506,3.40631,1.42744,0.00100919,0.00100919,0.00100919
47,1414.83,1.36287,1.79516,1.23198,0.84993,0.22727,0.38992,0.16403,1.83506,3.40631,1.42744,0.00101296,0.00101296,0.00101296
48,1434.9,1.61307,1.92862,1.24496,0.09414,0.22727,0.05991,0.02825,1.64773,3.53345,1.35698,0.00101593,0.00101593,0.00101593
49,1455.45,1.7451,2.396,1.55814,0.09414,0.22727,0.05991,0.02825,1.64773,3.53345,1.35698,0.00101811,0.00101811,0.00101811
50,1474.71,1.8225,1.78629,1.32531,0.0174,0.09091,0.02213,0.01014,1.7349,3.90237,1.44687,0.0010195,0.0010195,0.0010195
51,1496.05,1.61182,2.02046,1.18116,0.0174,0.09091,0.02213,0.01014,1.7349,3.90237,1.44687,0.00101,0.00101,0.00101
52,1512.61,1.71903,2.16505,1.29024,0.36537,0.18331,0.21671,0.11025,1.75545,3.31018,1.44468,0.0009902,0.0009902,0.0009902
53,1530.52,1.98573,2.16003,1.55192,0.36537,0.18331,0.21671,0.11025,1.75545,3.31018,1.44468,0.0009704,0.0009704,0.0009704
54,1547.4,1.7803,2.12628,1.4252,1,0.22801,0.48144,0.21715,1.82988,3.04184,1.46889,0.0009506,0.0009506,0.0009506
55,1565.77,1.55754,1.9513,1.24314,1,0.22801,0.48144,0.21715,1.82988,3.04184,1.46889,0.0009308,0.0009308,0.0009308
56,1582.3,1.5861,2.28746,1.31679,0.52947,0.35837,0.35263,0.18697,1.74375,2.93372,1.37644,0.000911,0.000911,0.000911
57,1599.57,1.46476,1.99244,1.23082,0.52947,0.35837,0.35263,0.18697,1.74375,2.93372,1.37644,0.0008912,0.0008912,0.0008912
58,1616.85,1.73657,2.03385,1.3109,0.41192,0.22727,0.28431,0.16134,1.6813,2.90128,1.34502,0.0008714,0.0008714,0.0008714
59,1634.09,1.59766,1.70695,1.195,0.41192,0.22727,0.28431,0.16134,1.6813,2.90128,1.34502,0.0008516,0.0008516,0.0008516
60,1650.6,1.51928,1.73063,1.264,0.90819,0.40909,0.63221,0.29525,1.69802,2.59833,1.36087,0.0008318,0.0008318,0.0008318
61,1671.62,1.5365,1.9295,1.20006,0.90819,0.40909,0.63221,0.29525,1.69802,2.59833,1.36087,0.000812,0.000812,0.000812
62,1690.14,1.43004,1.62723,1.21738,0.86808,0.59864,0.88353,0.46592,1.56618,2.33935,1.30198,0.0007922,0.0007922,0.0007922
63,1707.38,1.69374,1.90179,1.4419,0.86808,0.59864,0.88353,0.46592,1.56618,2.33935,1.30198,0.0007724,0.0007724,0.0007724
64,1727.03,1.79686,2.38056,1.47847,0.92378,0.63636,0.82211,0.436,1.53744,2.42814,1.29952,0.0007526,0.0007526,0.0007526
65,1745.41,1.58303,2.16416,1.36776,0.92378,0.63636,0.82211,0.436,1.53744,2.42814,1.29952,0.0007328,0.0007328,0.0007328
66,1763.77,1.56498,1.677,1.27068,0.75137,0.5497,0.71758,0.34933,1.55486,2.48671,1.30241,0.000713,0.000713,0.000713
67,1780.82,1.55288,1.76839,1.16649,0.75137,0.5497,0.71758,0.34933,1.55486,2.48671,1.30241,0.0006932,0.0006932,0.0006932
68,1798.61,1.8111,2.00835,1.38547,0.84426,0.68182,0.75768,0.39654,1.57756,2.4289,1.27912,0.0006734,0.0006734,0.0006734
69,1816.99,1.62428,1.70291,1.26088,0.84426,0.68182,0.75768,0.39654,1.57756,2.4289,1.27912,0.0006536,0.0006536,0.0006536
70,1834.83,1.51187,1.5898,1.24806,0.87053,0.61199,0.76488,0.39215,1.65909,2.39507,1.3121,0.0006338,0.0006338,0.0006338
71,1853.03,1.47789,1.58674,1.2487,0.87053,0.61199,0.76488,0.39215,1.65909,2.39507,1.3121,0.000614,0.000614,0.000614
72,1870.99,1.58264,1.74341,1.28662,0.88154,0.67678,0.79811,0.37971,1.69464,2.34662,1.29207,0.0005942,0.0005942,0.0005942
73,1888.16,1.5371,1.95027,1.27717,0.88154,0.67678,0.79811,0.37971,1.69464,2.34662,1.29207,0.0005744,0.0005744,0.0005744
74,1905.35,1.46615,1.71415,1.20811,0.88647,0.71045,0.80271,0.40116,1.69893,2.21377,1.30323,0.0005546,0.0005546,0.0005546
75,1922.39,1.54129,1.58955,1.17852,0.88647,0.71045,0.80271,0.40116,1.69893,2.21377,1.30323,0.0005348,0.0005348,0.0005348
76,1940.21,1.80849,1.65577,1.24657,0.8038,0.77273,0.82714,0.45947,1.60459,2.00014,1.27224,0.000515,0.000515,0.000515
77,1958.34,1.71289,1.72217,1.35319,0.8038,0.77273,0.82714,0.45947,1.60459,2.00014,1.27224,0.0004952,0.0004952,0.0004952
78,1976.94,1.39094,1.41813,1.09243,0.94277,0.74943,0.85183,0.47901,1.54589,1.89246,1.2477,0.0004754,0.0004754,0.0004754
79,1995.51,1.49747,1.50497,1.28047,0.94277,0.74943,0.85183,0.47901,1.54589,1.89246,1.2477,0.0004556,0.0004556,0.0004556
80,2012.76,1.39372,1.79534,1.22761,0.94378,0.76351,0.86968,0.46483,1.56891,1.86805,1.26169,0.0004358,0.0004358,0.0004358
81,2033.57,1.51253,1.63895,1.34747,0.94378,0.76351,0.86968,0.46483,1.56891,1.86805,1.26169,0.000416,0.000416,0.000416
82,2050.26,1.441,1.48526,1.23574,0.85778,0.82264,0.905,0.49161,1.5951,1.80718,1.28957,0.0003962,0.0003962,0.0003962
83,2066.52,1.52983,1.51071,1.31241,0.85778,0.82264,0.905,0.49161,1.5951,1.80718,1.28957,0.0003764,0.0003764,0.0003764
84,2085.06,1.52398,1.48084,1.26254,0.90391,0.8555,0.92351,0.47979,1.61797,1.79322,1.30107,0.0003566,0.0003566,0.0003566
85,2106.57,1.54736,1.60643,1.18352,0.90391,0.8555,0.92351,0.47979,1.61797,1.79322,1.30107,0.0003368,0.0003368,0.0003368
86,2125.22,1.66806,1.54279,1.17893,0.88684,0.86364,0.93132,0.50741,1.56191,1.70453,1.2758,0.000317,0.000317,0.000317
87,2144.1,1.41952,1.39516,1.12508,0.88684,0.86364,0.93132,0.50741,1.56191,1.70453,1.2758,0.0002972,0.0002972,0.0002972
88,2161.27,1.48479,1.66217,1.31245,0.92101,0.86364,0.94959,0.53509,1.50997,1.60986,1.2439,0.0002774,0.0002774,0.0002774
89,2178.14,1.37647,1.50951,1.13455,0.92101,0.86364,0.94959,0.53509,1.50997,1.60986,1.2439,0.0002576,0.0002576,0.0002576
90,2197.08,1.36985,1.75378,1.18086,0.96598,0.86364,0.96066,0.56159,1.46094,1.52413,1.21615,0.0002378,0.0002378,0.0002378
91,2213.73,1.43687,1.85454,1.23148,0.96598,0.86364,0.96066,0.56159,1.46094,1.52413,1.21615,0.000218,0.000218,0.000218
92,2229.98,1.49363,1.93081,1.28053,1,0.89019,0.97053,0.55145,1.47506,1.50519,1.21364,0.0001982,0.0001982,0.0001982
93,2248.3,1.53978,1.84732,1.26766,1,0.89019,0.97053,0.55145,1.47506,1.50519,1.21364,0.0001784,0.0001784,0.0001784
94,2265.35,1.59287,1.98422,1.36473,0.95032,0.86972,0.97618,0.53742,1.51276,1.50027,1.23221,0.0001586,0.0001586,0.0001586
95,2282.71,1.435,1.79649,1.32405,0.95032,0.86972,0.97618,0.53742,1.51276,1.50027,1.23221,0.0001388,0.0001388,0.0001388
96,2300.18,1.27982,1.53789,1.14102,0.95092,0.88112,0.97719,0.54068,1.54382,1.50597,1.24856,0.000119,0.000119,0.000119
97,2318.01,1.47232,1.67227,1.34386,0.95092,0.88112,0.97719,0.54068,1.54382,1.50597,1.24856,9.92e-05,9.92e-05,9.92e-05
98,2336.32,1.24624,1.6028,1.16128,0.9522,0.90564,0.98134,0.5417,1.56921,1.51491,1.263,7.94e-05,7.94e-05,7.94e-05
99,2354.37,1.36664,1.67022,1.25994,0.9522,0.90564,0.98134,0.5417,1.56921,1.51491,1.263,5.96e-05,5.96e-05,5.96e-05
100,2372.99,1.38348,1.58653,1.28238,0.94584,0.90909,0.98259,0.51633,1.58893,1.53519,1.27319,3.98e-05,3.98e-05,3.98e-05
