epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9778,2.7109,5.25268,1.92615,0.00015,0.04545,8e-05,5e-05,2.03804,6.97631,1.72636,0.00012,0.00012,0.00012
2,92.8969,2.27081,4.26811,1.63297,0.00076,0.22727,0.00062,0.00033,2.08114,5.75911,1.49068,0.000258284,0.000258284,0.000258284
3,131.43,2.20379,3.58169,1.56959,0.00212,0.63636,0.00282,0.00081,1.81556,5.13919,1.34297,0.00039472,0.00039472,0.00039472
4,168.3,2.04863,3.34048,1.44517,0.00212,0.63636,0.00266,0.00071,1.82395,5.13985,1.38218,0.000529308,0.000529308,0.000529308
5,204.821,1.94887,3.07464,1.38273,0.00288,0.86364,0.00379,0.0014,1.77055,5.00581,1.30208,0.000662048,0.000662048,0.000662048
6,241.909,1.93584,2.90699,1.46213,0.00152,0.45455,0.00257,0.00112,1.97593,5.04001,1.44293,0.00079294,0.00079294,0.00079294
7,278.973,1.94076,2.88285,1.45113,0.00212,0.63636,0.00521,0.00181,1.84625,4.59766,1.31643,0.000921984,0.000921984,0.000921984
8,314.798,1.96485,2.99388,1.46126,0.00242,0.72727,0.10707,0.04672,1.72686,4.45894,1.26996,0.00104918,0.00104918,0.00104918
9,351.357,2.01953,2.90348,1.42482,0.00288,0.86364,0.16751,0.07571,1.69079,4.0877,1.23671,0.00117453,0.00117453,0.00117453
10,389.993,2.09229,2.84607,1.4971,0.00273,0.81818,0.05373,0.01448,1.89742,4.22236,1.28296,0.00129803,0.00129803,0.00129803
11,427.143,2.07663,2.75272,1.46473,0.00634,0.72727,0.2131,0.10957,1.95584,4.11022,1.37891,0.00141968,0.00141968,0.00141968
12,465.939,1.97315,2.76539,1.44746,0.21413,0.09091,0.12456,0.05534,2.0488,3.85182,1.40642,0.00153948,0.00153948,0.00153948
13,504.97,1.94454,2.65097,1.44441,0.46388,0.18182,0.28404,0.15072,2.2117,3.46185,1.51048,0.00165744,0.00165744,0.00165744
14,542.662,1.9711,2.56053,1.47436,1,0.27822,0.47984,0.26547,1.80398,3.45198,1.46484,0.00177355,0.00177355,0.00177355
15,581.878,1.97627,2.55497,1.53835,1,0.19221,0.26002,0.15728,2.04487,4.03948,1.57575,0.0018152,0.0018152,0.0018152
16,620.536,1.93972,2.46062,1.46069,0.37907,0.27273,0.31561,0.12746,2.05816,3.48801,1.63398,0.001802,0.001802,0.001802
17,659.289,1.96227,2.51389,1.46593,0.51927,0.36364,0.33899,0.15647,2.05355,3.03941,1.68838,0.0017888,0.0017888,0.0017888
18,698.008,1.95909,2.46671,1.58507,0.57217,0.42618,0.53053,0.29655,1.72069,2.39989,1.48288,0.0017756,0.0017756,0.0017756
19,736.613,1.99342,2.40435,1.47562,0.71769,0.5,0.58029,0.28053,1.87638,2.36917,1.56092,0.0017624,0.0017624,0.0017624
20,776.021,1.95435,2.32481,1.48476,0.61445,0.59091,0.5561,0.24252,1.86971,2.3127,1.5321,0.0017492,0.0017492,0.0017492
21,814.901,2.03653,2.36781,1.50159,0.51166,0.45455,0.47653,0.2216,1.84842,2.43256,1.47996,0.001736,0.001736,0.001736
22,853.327,1.89921,2.3704,1.44401,0.61094,0.42898,0.50269,0.22517,1.84903,2.41527,1.43261,0.0017228,0.0017228,0.0017228
23,892.064,1.83077,2.34453,1.4135,0.43288,0.63636,0.47551,0.22682,1.78385,2.74584,1.40262,0.0017096,0.0017096,0.0017096
24,930.808,1.89276,2.1411,1.45716,0.30664,0.59091,0.37668,0.16525,1.85904,2.55129,1.44907,0.0016964,0.0016964,0.0016964
25,970.705,1.96118,2.33411,1.52418,0.48439,0.59805,0.50353,0.21403,1.88683,2.22683,1.45461,0.0016832,0.0016832,0.0016832
26,1009.68,1.91694,2.21065,1.42027,0.61829,0.44235,0.45305,0.25011,1.73955,2.05155,1.35223,0.00167,0.00167,0.00167
27,1048,1.94632,2.09045,1.46295,0.51423,0.5,0.451,0.20192,1.98319,2.09385,1.48429,0.0016568,0.0016568,0.0016568
28,1087.93,1.8088,2.12341,1.39156,0.58984,0.5,0.54125,0.30274,1.7793,2.25718,1.42871,0.0016436,0.0016436,0.0016436
29,1127.02,1.96,2.15169,1.48197,0.60114,0.59091,0.58077,0.31523,1.76983,2.47696,1.43086,0.0016304,0.0016304,0.0016304
30,1166.94,1.83104,2.08124,1.4497,0.5089,0.56569,0.52305,0.24387,1.93841,2.35645,1.49112,0.0016172,0.0016172,0.0016172
31,1206.41,1.83922,1.90332,1.46051,0.6522,0.68182,0.60241,0.29923,1.82389,2.11614,1.43827,0.001604,0.001604,0.001604
32,1244.4,1.93207,1.99715,1.43066,0.65102,0.42468,0.49545,0.27022,1.87213,2.06661,1.45076,0.0015908,0.0015908,0.0015908
33,1283.12,1.86334,1.96882,1.44775,0.61554,0.43734,0.46624,0.257,1.82503,2.09968,1.42119,0.0015776,0.0015776,0.0015776
34,1322.39,1.83885,1.9902,1.43406,0.42989,0.59091,0.40746,0.19727,1.86491,2.04341,1.44754,0.0015644,0.0015644,0.0015644
35,1361.9,1.83966,1.92026,1.41943,0.53999,0.48079,0.39309,0.17954,1.89648,2.05607,1.43156,0.0015512,0.0015512,0.0015512
36,1399.1,1.92217,2.03619,1.44362,0.53092,0.59091,0.46357,0.25253,1.82339,2.03734,1.41947,0.001538,0.001538,0.001538
37,1436.67,1.87026,1.78616,1.41023,0.73984,0.63636,0.65508,0.33565,1.81042,1.95443,1.4268,0.0015248,0.0015248,0.0015248
38,1475.64,1.87243,2.02264,1.42156,0.75526,0.56172,0.67618,0.35206,1.75615,1.73551,1.38553,0.0015116,0.0015116,0.0015116
39,1514.08,1.8813,1.94819,1.44234,0.61192,0.5,0.52366,0.24436,1.96637,2.08674,1.44373,0.0014984,0.0014984,0.0014984
40,1552.3,1.84851,1.87192,1.3859,0.8755,0.54545,0.63894,0.34903,1.87694,1.85497,1.42228,0.0014852,0.0014852,0.0014852
41,1591.08,1.77457,1.90106,1.40153,0.68371,0.63636,0.6779,0.35032,1.85911,1.69394,1.42093,0.001472,0.001472,0.001472
42,1630.36,1.86031,1.83573,1.39598,0.85433,0.53383,0.62197,0.29485,1.83955,1.89092,1.41501,0.0014588,0.0014588,0.0014588
43,1669.04,1.71347,1.73565,1.32168,0.80527,0.54545,0.65446,0.35201,1.82276,1.67254,1.3909,0.0014456,0.0014456,0.0014456
44,1708.2,1.81245,1.67954,1.40027,0.92131,0.5329,0.68651,0.30008,1.91146,1.67587,1.46365,0.0014324,0.0014324,0.0014324
45,1747.5,1.82655,1.8027,1.38587,0.69681,0.40909,0.52124,0.26329,1.93001,1.90378,1.45963,0.0014192,0.0014192,0.0014192
46,1786.85,1.82983,1.93785,1.36232,0.65856,0.43907,0.50904,0.25359,1.98019,1.8417,1.45475,0.001406,0.001406,0.001406
47,1825.76,1.87356,1.83302,1.42211,0.68401,0.59038,0.55896,0.29575,1.89122,1.692,1.41927,0.0013928,0.0013928,0.0013928
48,1865.29,1.74442,1.7651,1.42021,0.92009,0.52428,0.67007,0.27532,1.79479,1.73945,1.36814,0.0013796,0.0013796,0.0013796
49,1904.73,1.87957,1.69665,1.4566,0.74276,0.5,0.59989,0.23814,1.88491,1.82938,1.41227,0.0013664,0.0013664,0.0013664
50,1944.27,1.88128,1.90448,1.47745,0.81305,0.59091,0.62634,0.25015,1.83526,2.15261,1.38285,0.0013532,0.0013532,0.0013532
51,1986.36,1.78057,1.62397,1.39277,0.67266,0.65435,0.63533,0.30715,1.89642,1.71516,1.41271,0.00134,0.00134,0.00134
52,2025.94,1.84313,1.78609,1.48331,0.67109,0.54545,0.60894,0.28373,1.98762,1.76659,1.45846,0.0013268,0.0013268,0.0013268
53,2064.85,1.72044,1.5416,1.35535,0.74356,0.52789,0.59612,0.31562,1.83305,1.72737,1.37812,0.0013136,0.0013136,0.0013136
54,2103.73,1.74849,1.66002,1.35326,0.69058,0.60926,0.5978,0.33528,1.57669,1.65321,1.28026,0.0013004,0.0013004,0.0013004
55,2143.01,1.80997,1.78225,1.41229,0.69179,0.71458,0.62792,0.34321,1.67828,1.68411,1.32502,0.0012872,0.0012872,0.0012872
56,2181.99,1.76393,1.69881,1.40657,0.76391,0.54545,0.6655,0.30718,1.83716,1.66065,1.39191,0.001274,0.001274,0.001274
57,2221.61,1.68368,1.70317,1.33711,0.61705,0.59091,0.61463,0.313,1.79599,1.72537,1.38362,0.0012608,0.0012608,0.0012608
58,2262.52,1.77105,1.79416,1.41032,0.57109,0.54545,0.56349,0.30778,1.68693,1.75977,1.31892,0.0012476,0.0012476,0.0012476
59,2302.02,1.72953,1.66543,1.38555,0.84718,0.63636,0.62881,0.2904,1.73995,1.74419,1.34658,0.0012344,0.0012344,0.0012344
60,2340.51,1.71008,1.68883,1.40475,0.64068,0.56792,0.57508,0.27944,1.7859,1.89053,1.37363,0.0012212,0.0012212,0.0012212
61,2379.69,1.81522,1.79292,1.4148,0.80423,0.59091,0.66323,0.31511,1.82343,1.8492,1.36987,0.001208,0.001208,0.001208
62,2418.92,1.76683,1.68478,1.3477,0.88023,0.63636,0.68458,0.34133,1.73434,1.55669,1.34695,0.0011948,0.0011948,0.0011948
63,2458,1.72232,1.6829,1.332,0.75014,0.63636,0.67976,0.28186,1.80247,1.58303,1.36944,0.0011816,0.0011816,0.0011816
64,2497.09,1.77631,1.72232,1.42335,0.90045,0.68182,0.74522,0.31805,1.82781,1.53042,1.39894,0.0011684,0.0011684,0.0011684
65,2537.08,1.66422,1.61372,1.32268,0.85514,0.68182,0.72955,0.36739,1.77216,1.51949,1.38483,0.0011552,0.0011552,0.0011552
66,2576.52,1.75943,1.92163,1.32072,0.71708,0.59091,0.63107,0.30666,1.83295,1.71834,1.40776,0.001142,0.001142,0.001142
67,2615.49,1.75249,1.83779,1.29993,0.73507,0.63636,0.66069,0.24903,1.98289,1.70495,1.49839,0.0011288,0.0011288,0.0011288
68,2654.29,1.6929,1.60881,1.25921,0.8639,0.57773,0.66635,0.24672,1.95761,1.75183,1.46414,0.0011156,0.0011156,0.0011156
69,2693.84,1.62467,1.6014,1.28803,0.63881,0.68182,0.66776,0.27924,1.85084,1.64672,1.4031,0.0011024,0.0011024,0.0011024
70,2733.2,1.76429,1.71709,1.37352,0.62328,0.54545,0.62754,0.2674,1.84628,1.82131,1.39223,0.0010892,0.0010892,0.0010892
71,2772.1,1.65607,1.62412,1.32085,0.83367,0.63636,0.70408,0.26894,2.0588,1.61376,1.50204,0.001076,0.001076,0.001076
72,2811.68,1.62082,1.50744,1.31396,0.93675,0.67367,0.72877,0.26182,2.17926,1.49746,1.57528,0.0010628,0.0010628,0.0010628
73,2850.87,1.7312,1.59027,1.37391,0.82837,0.68182,0.73881,0.33981,1.92319,1.42166,1.42406,0.0010496,0.0010496,0.0010496
74,2892.02,1.70482,1.66672,1.32742,0.94733,0.68182,0.73908,0.40168,1.7688,1.42714,1.36899,0.0010364,0.0010364,0.0010364
75,2931.78,1.72057,1.59251,1.37086,0.87311,0.62606,0.72882,0.39835,1.79172,1.51906,1.37257,0.0010232,0.0010232,0.0010232
76,2970.73,1.69137,1.48226,1.31058,0.73107,0.63636,0.70518,0.36504,1.78224,1.51778,1.34395,0.00101,0.00101,0.00101
77,3010.81,1.70825,1.59718,1.33548,0.78755,0.63636,0.72714,0.36299,1.8454,1.503,1.37803,0.0009968,0.0009968,0.0009968
78,3050.13,1.68992,1.52195,1.34649,0.75244,0.72727,0.69815,0.31805,1.99808,1.56427,1.46481,0.0009836,0.0009836,0.0009836
79,3089.88,1.68742,1.53006,1.33197,0.83452,0.59091,0.69044,0.27205,2.06154,1.53686,1.53542,0.0009704,0.0009704,0.0009704
80,3130.13,1.78002,1.53956,1.40362,0.83101,0.68182,0.74822,0.32583,1.91184,1.36653,1.41918,0.0009572,0.0009572,0.0009572
81,3170.55,1.65806,1.5367,1.30366,0.73141,0.74312,0.74353,0.35255,1.90064,1.38842,1.39671,0.000944,0.000944,0.000944
82,3209.1,1.62987,1.55069,1.32473,0.73038,0.73919,0.75009,0.34988,1.91588,1.50612,1.4146,0.0009308,0.0009308,0.0009308
83,3248.05,1.66988,1.54559,1.34038,0.93247,0.62808,0.75644,0.36096,1.95034,1.58202,1.44349,0.0009176,0.0009176,0.0009176
84,3287.17,1.70801,1.54142,1.33565,0.83556,0.69335,0.75859,0.35049,1.87615,1.50307,1.40877,0.0009044,0.0009044,0.0009044
85,3327.15,1.70415,1.43282,1.34139,0.8975,0.68182,0.75631,0.33697,1.84668,1.4623,1.39743,0.0008912,0.0008912,0.0008912
86,3366.99,1.67773,1.41619,1.32069,0.79161,0.77273,0.75713,0.34776,1.88389,1.48846,1.42254,0.000878,0.000878,0.000878
87,3406.49,1.62273,1.47894,1.31217,0.8337,0.68371,0.72587,0.31899,1.97298,1.55045,1.46683,0.0008648,0.0008648,0.0008648
88,3446.06,1.69092,1.4901,1.30844,0.88879,0.59091,0.69121,0.37201,1.79448,1.48641,1.35551,0.0008516,0.0008516,0.0008516
89,3485.46,1.61308,1.36915,1.29439,0.88626,0.59091,0.69258,0.35026,1.77069,1.43271,1.35196,0.0008384,0.0008384,0.0008384
90,3523.44,1.55966,1.39579,1.23206,0.82486,0.54545,0.67887,0.33131,1.84631,1.49917,1.40116,0.0008252,0.0008252,0.0008252
91,3561.96,1.60323,1.33517,1.30566,0.93032,0.5,0.68017,0.32154,1.9671,1.53479,1.50071,0.000812,0.000812,0.000812
92,3600.34,1.60739,1.31362,1.32205,0.96209,0.54545,0.72172,0.31737,1.99867,1.43097,1.53184,0.0007988,0.0007988,0.0007988
93,3638.88,1.64263,1.32352,1.30699,0.77499,0.62668,0.6975,0.29497,2.0203,1.46951,1.52716,0.0007856,0.0007856,0.0007856
94,3680.64,1.58322,1.24128,1.30035,0.92187,0.53689,0.64413,0.24234,2.097,1.66077,1.5433,0.0007724,0.0007724,0.0007724
95,3733.87,1.70791,1.39246,1.35574,0.82039,0.59091,0.65887,0.26278,2.14329,1.62666,1.56743,0.0007592,0.0007592,0.0007592
96,3779.18,1.65111,1.28735,1.3121,0.8917,0.59091,0.71046,0.31901,1.97464,1.37239,1.48775,0.000746,0.000746,0.000746
97,3823.96,1.6103,1.34393,1.29374,0.87077,0.59091,0.70578,0.30869,2.00471,1.37742,1.49681,0.0007328,0.0007328,0.0007328
98,3868.48,1.55915,1.39652,1.24968,0.83988,0.59091,0.66131,0.28886,2.0336,1.44017,1.4961,0.0007196,0.0007196,0.0007196
99,3912.72,1.51805,1.32358,1.29843,0.97064,0.5,0.60522,0.28411,2.04449,1.54524,1.51513,0.0007064,0.0007064,0.0007064
100,3956.42,1.57981,1.40392,1.27403,0.87176,0.5,0.57947,0.25077,2.11615,1.6452,1.57853,0.0006932,0.0006932,0.0006932
101,4001.03,1.65039,1.31802,1.30474,0.99088,0.5,0.59969,0.25623,2.06728,1.62083,1.55138,0.00068,0.00068,0.00068
102,4043.81,1.57179,1.32254,1.26559,0.94545,0.54545,0.66811,0.33046,1.93503,1.54295,1.45277,0.0006668,0.0006668,0.0006668
103,4088,1.61133,1.30724,1.28562,0.92774,0.58404,0.70923,0.33784,1.92557,1.39362,1.4535,0.0006536,0.0006536,0.0006536
104,4130.35,1.54497,1.27881,1.25818,0.95693,0.59091,0.69489,0.27862,2.04823,1.41384,1.54583,0.0006404,0.0006404,0.0006404
105,4172.81,1.60949,1.30614,1.31077,0.92942,0.59091,0.69793,0.29542,2.02505,1.381,1.52893,0.0006272,0.0006272,0.0006272
106,4216.03,1.56899,1.31906,1.27811,0.86192,0.68182,0.76149,0.33829,1.92355,1.31736,1.46391,0.000614,0.000614,0.000614
107,4259.08,1.56325,1.29991,1.28162,0.94275,0.74918,0.79767,0.36353,1.88608,1.28059,1.45464,0.0006008,0.0006008,0.0006008
108,4301.86,1.56805,1.30428,1.29241,0.77997,0.68182,0.73961,0.27196,2.05135,1.32401,1.54387,0.0005876,0.0005876,0.0005876
109,4344.8,1.60109,1.31047,1.2645,0.90232,0.68182,0.73893,0.25481,2.16346,1.34929,1.59975,0.0005744,0.0005744,0.0005744
110,4387.87,1.61237,1.30107,1.28452,0.83295,0.68005,0.73756,0.28199,2.09053,1.25132,1.56077,0.0005612,0.0005612,0.0005612
111,4431.1,1.54477,1.14885,1.24876,0.82221,0.72727,0.74683,0.36075,1.92016,1.23884,1.4654,0.000548,0.000548,0.000548
112,4474.48,1.57387,1.1824,1.31881,0.75096,0.68548,0.74507,0.3387,1.9571,1.32133,1.48206,0.0005348,0.0005348,0.0005348
113,4518.07,1.51631,1.17469,1.2563,0.87084,0.61368,0.70103,0.31983,2.06293,1.36479,1.51969,0.0005216,0.0005216,0.0005216
114,4561.62,1.51301,1.10311,1.27842,0.7252,0.72727,0.71952,0.30928,2.09722,1.32398,1.53348,0.0005084,0.0005084,0.0005084
115,4605.95,1.61393,1.23692,1.28979,0.80768,0.76392,0.76404,0.37386,1.86528,1.23857,1.39532,0.0004952,0.0004952,0.0004952
116,4650.65,1.52349,1.33547,1.24224,0.80498,0.75105,0.76157,0.37437,1.81828,1.23718,1.39375,0.000482,0.000482,0.000482
117,4696.06,1.48856,1.09839,1.2528,0.88218,0.68076,0.74586,0.35631,1.82213,1.25542,1.41389,0.0004688,0.0004688,0.0004688
