epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.15082,3.1828,6.20843,2.41329,0,0,0,0,2.05189,5.85595,1.69622,0.00018,0.00018,0.00018
2,8.00997,2.42422,4.65286,1.74711,0.00227,0.68182,0.00368,0.00088,1.84633,4.68181,1.33562,0.000377492,0.000377492,0.000377492
3,11.6029,2.094,3.47279,1.45542,0.00197,0.59091,0.00245,0.00071,1.91188,4.70488,1.3578,0.000572344,0.000572344,0.000572344
4,15.1346,2.01803,3.08903,1.40193,0.00152,0.45455,0.00146,0.00033,1.81096,4.84659,1.34266,0.000764556,0.000764556,0.000764556
5,18.6,1.96342,2.81169,1.39748,0.00121,0.36364,0.00099,0.0003,1.84343,4.35618,1.42351,0.000954128,0.000954128,0.000954128
6,22.1273,1.97078,2.71543,1.38302,0.00227,0.68182,0.0044,0.00183,1.99181,3.62741,1.52682,0.00114106,0.00114106,0.00114106
7,25.791,1.90898,2.51135,1.34092,0.00242,0.72727,0.00281,0.00124,1.88873,4.13896,1.39738,0.00132535,0.00132535,0.00132535
8,29.3104,1.903,2.40909,1.35365,0.20326,0.18182,0.12306,0.06656,1.94022,2.55397,1.48337,0.001507,0.001507,0.001507
9,32.9745,1.90331,2.33119,1.3752,0.00877,0.22727,0.00934,0.0044,1.98732,3.72982,1.56308,0.00168602,0.00168602,0.00168602
10,36.5038,1.90733,2.2161,1.36931,0.634,0.40909,0.47285,0.20678,1.99303,2.61535,1.54795,0.00186239,0.00186239,0.00186239
11,40.1359,1.88563,2.12815,1.35212,0.47733,0.40909,0.36947,0.15061,1.95961,2.09578,1.4951,0.001868,0.001868,0.001868
12,43.6886,1.87435,2.06316,1.32796,0.61546,0.36364,0.36939,0.20696,2.11575,2.384,1.52469,0.0018548,0.0018548,0.0018548
13,47.3333,1.84838,1.97749,1.34305,0.51811,0.40909,0.36415,0.17565,1.92964,2.20684,1.50179,0.0018416,0.0018416,0.0018416
14,50.8686,1.8947,2.04453,1.35895,0.4897,0.36364,0.29215,0.1521,2.01582,2.44804,1.49823,0.0018284,0.0018284,0.0018284
15,54.3874,1.81088,1.88746,1.30288,0.83863,0.5,0.5854,0.31729,1.9048,2.26815,1.37164,0.0018152,0.0018152,0.0018152
16,58.069,1.81603,1.84216,1.33499,0.56521,0.35506,0.3615,0.15986,2.04507,2.93835,1.46523,0.001802,0.001802,0.001802
17,61.5816,1.79638,1.82002,1.32656,0.60589,0.31818,0.42718,0.21,1.83866,2.73499,1.33648,0.0017888,0.0017888,0.0017888
18,65.101,1.75884,1.72755,1.2863,0.84605,0.40909,0.53534,0.27391,1.84019,1.83219,1.35977,0.0017756,0.0017756,0.0017756
19,68.6187,1.73322,1.67229,1.28271,0.60309,0.63636,0.56513,0.20112,2.17336,2.13466,1.53972,0.0017624,0.0017624,0.0017624
20,72.1375,1.74828,1.68834,1.28948,0.70414,0.54545,0.58406,0.27164,1.91579,2.15926,1.3992,0.0017492,0.0017492,0.0017492
21,75.6542,1.72399,1.64109,1.2842,0.78006,0.48441,0.57373,0.27032,1.7901,2.11225,1.395,0.001736,0.001736,0.001736
22,79.1422,1.69495,1.61692,1.26434,0.79487,0.5,0.60824,0.35218,1.74796,1.52835,1.3138,0.0017228,0.0017228,0.0017228
23,82.7957,1.72288,1.5923,1.26958,0.51141,0.45455,0.40034,0.23798,1.82095,2.29812,1.33241,0.0017096,0.0017096,0.0017096
24,86.3,1.7062,1.57484,1.25803,0.74372,0.45455,0.39749,0.2263,1.79707,2.09617,1.33944,0.0016964,0.0016964,0.0016964
25,89.8317,1.66318,1.48572,1.23264,0.75595,0.59091,0.61412,0.32992,1.88885,2.13465,1.4114,0.0016832,0.0016832,0.0016832
26,93.3196,1.63632,1.45116,1.23741,0.59751,0.59091,0.50127,0.22175,1.94398,1.98296,1.37007,0.00167,0.00167,0.00167
27,96.8488,1.6364,1.45303,1.21914,0.54611,0.5,0.52039,0.25373,2.04239,2.02183,1.48721,0.0016568,0.0016568,0.0016568
28,100.354,1.57372,1.37732,1.20312,0.90195,0.5,0.56714,0.23876,1.86896,2.08546,1.38205,0.0016436,0.0016436,0.0016436
29,103.868,1.57667,1.34479,1.20026,0.6456,0.497,0.48789,0.24722,1.84903,1.9426,1.38155,0.0016304,0.0016304,0.0016304
30,107.362,1.55406,1.33962,1.20915,0.49036,0.39419,0.43131,0.24071,1.8615,2.62422,1.3663,0.0016172,0.0016172,0.0016172
31,110.881,1.58568,1.34924,1.20278,0.45027,0.37269,0.36192,0.20849,1.8975,2.50082,1.39637,0.001604,0.001604,0.001604
32,114.364,1.59363,1.38732,1.21648,0.6731,0.40909,0.44537,0.16595,2.04121,2.36372,1.4789,0.0015908,0.0015908,0.0015908
33,117.882,1.5726,1.34572,1.20889,0.83299,0.4535,0.441,0.16192,2.11888,2.63056,1.58885,0.0015776,0.0015776,0.0015776
