epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1174.88,1.44542,1.71975,1.06181,0.00288,0.86364,0.03671,0.02755,1.32999,3.98366,1.2178,0.000986206,0.000986206,0.000986206
43,1196.47,1.3075,2.20671,1.224,0.00288,0.86364,0.03671,0.02755,1.32999,3.98366,1.2178,0.00099314,0.00099314,0.00099314
44,1216.18,1.22787,1.76194,1.15388,1,0.16261,0.59964,0.40061,1.36433,3.56169,1.205,0.000999282,0.000999282,0.000999282
45,1234.71,1.37033,1.65151,1.11313,1,0.16261,0.59964,0.40061,1.36433,3.56169,1.205,0.00100463,0.00100463,0.00100463
46,1253.32,1.235,1.66676,1.15996,1,0.17918,0.70916,0.51917,1.26903,3.36959,1.15344,0.00100919,0.00100919,0.00100919
47,1274.13,1.29988,1.93549,1.0698,1,0.17918,0.70916,0.51917,1.26903,3.36959,1.15344,0.00101296,0.00101296,0.00101296
48,1292.44,1.24491,1.54234,1.13774,0.00258,0.77273,0.45882,0.32853,1.23775,3.64263,1.16086,0.00101593,0.00101593,0.00101593
49,1310.88,1.31425,1.66257,1.09719,0.00258,0.77273,0.45882,0.32853,1.23775,3.64263,1.16086,0.00101811,0.00101811,0.00101811
50,1329.61,1.35967,1.73541,1.05395,0.00212,0.63636,0.22655,0.14662,1.5308,4.05044,1.26056,0.0010195,0.0010195,0.0010195
51,1348.79,1.23983,1.72976,1.07909,0.00212,0.63636,0.22655,0.14662,1.5308,4.05044,1.26056,0.00101,0.00101,0.00101
52,1369.69,1.52601,2.12142,1.18205,1,0.0878,0.38481,0.20584,1.63541,3.73344,1.25547,0.0009902,0.0009902,0.0009902
53,1387.98,1.20971,1.54302,1.06077,1,0.0878,0.38481,0.20584,1.63541,3.73344,1.25547,0.0009704,0.0009704,0.0009704
54,1409.45,1.12338,1.68231,1.02761,0.90428,0.4305,0.77923,0.47209,1.46866,3.02369,1.18014,0.0009506,0.0009506,0.0009506
55,1427.88,1.27321,1.59254,1.11026,0.90428,0.4305,0.77923,0.47209,1.46866,3.02369,1.18014,0.0009308,0.0009308,0.0009308
56,1446.92,1.25458,1.3614,1.04921,0.94059,0.71996,0.87607,0.56242,1.33474,2.65935,1.15098,0.000911,0.000911,0.000911
57,1466.89,1.08192,1.47641,1.02734,0.94059,0.71996,0.87607,0.56242,1.33474,2.65935,1.15098,0.0008912,0.0008912,0.0008912
58,1494.63,1.22213,1.60292,1.19782,0.84948,0.76974,0.89818,0.5604,1.36653,2.51291,1.16714,0.0008714,0.0008714,0.0008714
59,1518.55,1.22128,1.52871,1.09675,0.84948,0.76974,0.89818,0.5604,1.36653,2.51291,1.16714,0.0008516,0.0008516,0.0008516
60,1542.15,1.31421,1.43959,1.02187,0.8861,0.70786,0.90749,0.57033,1.41285,2.56144,1.18707,0.0008318,0.0008318,0.0008318
61,1565.15,1.12544,1.40713,1.00329,0.8861,0.70786,0.90749,0.57033,1.41285,2.56144,1.18707,0.000812,0.000812,0.000812
62,1588.74,1.04322,1.57081,1.11467,0.9349,0.65348,0.92923,0.60466,1.27624,2.5144,1.14239,0.0007922,0.0007922,0.0007922
63,1614.17,1.13364,1.41067,1.03617,0.9349,0.65348,0.92923,0.60466,1.27624,2.5144,1.14239,0.0007724,0.0007724,0.0007724
64,1637.28,1.17312,1.44916,1.01939,0.96624,0.81818,0.95975,0.65154,1.1266,2.21437,1.09608,0.0007526,0.0007526,0.0007526
65,1659.77,1.23513,1.45794,1.00636,0.96624,0.81818,0.95975,0.65154,1.1266,2.21437,1.09608,0.0007328,0.0007328,0.0007328
66,1683.8,1.09599,1.51577,0.99829,1,0.85025,0.96433,0.68919,1.04843,1.95079,1.05369,0.000713,0.000713,0.000713
67,1706.97,1.20928,1.36366,1.05691,1,0.85025,0.96433,0.68919,1.04843,1.95079,1.05369,0.0006932,0.0006932,0.0006932
68,1730.65,1.13081,1.42339,0.99904,0.99853,0.86364,0.97208,0.71631,1.00215,1.75254,1.02874,0.0006734,0.0006734,0.0006734
69,1753.26,1.04718,1.34973,1.01756,0.99853,0.86364,0.97208,0.71631,1.00215,1.75254,1.02874,0.0006536,0.0006536,0.0006536
70,1776.28,1.10287,1.16116,1.13444,0.96608,0.90909,0.97904,0.69922,1.06942,1.70584,1.04178,0.0006338,0.0006338,0.0006338
71,1799.05,1.18715,1.43942,1.20088,0.96608,0.90909,0.97904,0.69922,1.06942,1.70584,1.04178,0.000614,0.000614,0.000614
72,1819.12,1.1313,1.52917,1.00293,1,0.94842,0.98014,0.69893,1.07408,1.71889,1.04539,0.0005942,0.0005942,0.0005942
73,1834.53,0.95667,1.32787,0.98077,1,0.94842,0.98014,0.69893,1.07408,1.71889,1.04539,0.0005744,0.0005744,0.0005744
74,1849.1,1.06738,1.34312,0.94769,1,0.94019,0.99167,0.71646,1.04117,1.62965,1.02132,0.0005546,0.0005546,0.0005546
75,1862.83,0.91287,1.04129,0.89923,1,0.94019,0.99167,0.71646,1.04117,1.62965,1.02132,0.0005348,0.0005348,0.0005348
76,1876.27,1.05622,1.42744,1.00118,0.9969,1,0.995,0.70801,0.99955,1.48862,1.00619,0.000515,0.000515,0.000515
77,1890.05,0.84407,1.15289,0.91001,0.9969,1,0.995,0.70801,0.99955,1.48862,1.00619,0.0004952,0.0004952,0.0004952
78,1905.82,0.93139,1.23866,0.91156,1,0.99351,0.995,0.72439,0.98526,1.40287,1.0081,0.0004754,0.0004754,0.0004754
79,1919.68,0.8751,1.06614,0.88271,1,0.99351,0.995,0.72439,0.98526,1.40287,1.0081,0.0004556,0.0004556,0.0004556
80,1933.88,0.80293,1.20667,0.90365,0.99385,1,0.995,0.7439,0.93068,1.29336,1.00148,0.0004358,0.0004358,0.0004358
81,1949.16,0.95764,1.18254,1.01934,0.99385,1,0.995,0.7439,0.93068,1.29336,1.00148,0.000416,0.000416,0.000416
